央视高清频道,#genre#
中山公共高清,http://192.168.3.1:55555/udp/239.11.0.123:1025
中山教育高清,http://192.168.3.1:55555/udp/239.11.0.124:1025
云浮综合高清,http://192.168.3.1:55555/udp/239.11.0.96:1025
云浮公共高清,http://192.168.3.1:55555/udp/239.11.0.97:1025
清远公共高清,http://192.168.3.1:55555/udp/239.11.0.75:1025
清远综合高清,http://192.168.3.1:55555/udp/239.11.0.74:1025
湛江公共高清,http://192.168.3.1:55555/udp/239.10.0.254:1025
湛江综合高清,http://192.168.3.1:55555/udp/239.10.0.253:1025
珠海一套高清,http://192.168.3.1:55555/udp/239.10.0.242:1025
珠海二套高清,http://192.168.3.1:55555/udp/239.10.0.65:1025
肇庆公共高清,http://192.168.3.1:55555/udp/239.11.0.54:1025
肇庆综合高清,http://192.168.3.1:55555/udp/239.11.0.53:1025
茂名公共高清,http://192.168.3.1:55555/udp/239.11.0.99:1025
茂名综合高清,http://192.168.3.1:55555/udp/239.10.0.238:1025
韶关公共高清,http://192.168.3.1:55555/udp/239.11.0.85:1025
韶关综合高清,http://192.168.3.1:55555/udp/239.11.0.84:1025
江门公共高清,http://192.168.3.1:55555/udp/239.10.0.139:1025
江门教育高清,http://192.168.3.1:55555/udp/239.10.0.152:1025
江门综合高清,http://192.168.3.1:55555/udp/239.10.0.219:1025
广东卫视高清,http://192.168.3.1:55555/udp/239.20.0.101:2000
广东珠江高清,http://192.168.3.1:55555/udp/239.20.0.64:3144
大湾区卫视高清,http://192.168.3.1:55555/udp/239.21.0.84:3676
广东影视高清,http://192.168.3.1:55555/udp/239.21.0.85:3680
广东公共高清,http://192.168.3.1:55555/udp/239.21.0.86:3684
广东少儿高清,http://192.168.3.1:55555/udp/239.21.0.87:3688
嘉佳卡通高清,http://192.168.3.1:55555/udp/239.21.0.94:3716
广东新闻高清,http://192.168.3.1:55555/udp/239.21.0.93:3712
广东科教高清,http://192.168.3.1:55555/udp/239.20.0.102:2002
广东体育高清,http://192.168.3.1:55555/udp/239.20.0.103:2004
惠州综合高清,http://192.168.3.1:55555/udp/239.21.0.27:3448
惠州公共高清,http://192.168.3.1:55555/udp/239.21.0.28:3452
河源综合高清,http://192.168.3.1:55555/udp/239.21.0.48:3532
河源公共高清,http://192.168.3.1:55555/udp/239.21.0.49:3536
汕尾综合高清,http://192.168.3.1:55555/udp/239.21.0.89:3696
汕尾生活高清,http://192.168.3.1:55555/udp/239.21.0.90:3700
揭阳综合高清,http://192.168.3.1:55555/udp/239.21.0.91:3704
揭阳生活高清,http://192.168.3.1:55555/udp/239.21.0.92:3708
汕头综合高清,http://192.168.3.1:55555/udp/239.21.0.101:3744
汕头生活高清,http://192.168.3.1:55555/udp/239.21.0.102:3748
汕头文化高清,http://192.168.3.1:55555/udp/239.21.0.103:3752
东莞综合高清,http://192.168.3.1:55555/udp/239.21.0.137:3892
东莞资讯高清,http://192.168.3.1:55555/udp/239.21.0.138:3896

卫视高清频道,#genre#

广西卫视高清,http://192.168.3.1:55555/udp/239.10.0.246:1025
东南卫视高清,http://192.168.3.1:55555/udp/239.10.0.77:1025
东方卫视高清,http://192.168.3.1:55555/udp/239.10.0.183:1025
北京卫视高清,http://192.168.3.1:55555/udp/239.10.0.131:1025
吉林卫视高清,http://192.168.3.1:55555/udp/239.10.0.81:1025
四川卫视高清,http://192.168.3.1:55555/udp/239.10.0.204:1025
天津卫视高清,http://192.168.3.1:55555/udp/239.10.0.181:1025
安徽卫视高清,http://192.168.3.1:55555/udp/239.10.0.203:1025
山东卫视高清,http://192.168.3.1:55555/udp/239.10.0.182:1025
江苏卫视高清,http://192.168.3.1:55555/udp/239.10.0.180:1025
江西卫视高清,http://192.168.3.1:55555/udp/239.10.0.80:1025
河北卫视高清,http://192.168.3.1:55555/udp/239.10.0.79:1025
河南卫视高清,http://192.168.3.1:55555/udp/239.11.0.94:1025
浙江卫视高清,http://192.168.3.1:55555/udp/239.10.0.179:1025
深圳卫视高清,http://192.168.3.1:55555/udp/239.10.0.132:1025
湖北卫视高清,http://192.168.3.1:55555/udp/239.10.0.134:1025
湖南卫视高清,http://192.168.3.1:55555/udp/239.10.0.115:1025
贵州卫视高清,http://192.168.3.1:55555/udp/239.10.0.222:1025
辽宁卫视高清,http://192.168.3.1:55555/udp/239.10.0.185:1025
重庆卫视高清,http://192.168.3.1:55555/udp/239.10.0.205:1025
黑龙江卫视高清,http://192.168.3.1:55555/udp/239.10.0.133:1025
教育卫视高清,http://192.168.3.1:55555/udp/239.10.0.223:1025
云南卫视高清,http://192.168.3.1:55555/udp/239.11.0.171:1025
海南卫视高清,http://192.168.3.1:55555/udp/239.11.0.172:1025
上海纪实高清,http://192.168.3.1:55555/udp/239.10.0.78:1025
北京纪实高清,http://192.168.3.1:55555/udp/239.10.0.184:1025
金鹰纪实高清,http://192.168.3.1:55555/udp/239.10.0.206:1025
求索生活高清,http://192.168.3.1:55555/udp/239.10.0.86:1025
求索记录高清,http://192.168.3.1:55555/udp/239.11.0.128:1025
嘉佳卡通高清,http://192.168.3.1:55555/udp/239.10.0.200:1025
金鹰卡通高清,http://192.168.3.1:55555/udp/239.11.0.125:1025
早期教育高清,http://192.168.3.1:55555/udp/239.11.0.100:1025
中国交通高清,http://192.168.3.1:55555/udp/239.10.0.72:1025
快乐垂钓高清,http://192.168.3.1:55555/udp/239.11.0.131:1025
茶频道高清,http://192.168.3.1:55555/udp/239.11.0.130:1025
广西卫视高清,http://192.168.3.1:55555/udp/239.20.0.15:3344
吉林卫视高清,http://192.168.3.1:55555/udp/239.20.0.54:3184
江西卫视高清,http://192.168.3.1:55555/udp/239.20.0.55:3180
河北卫视高清,http://192.168.3.1:55555/udp/239.20.0.56:3176
上海纪实高清,http://192.168.3.1:55555/udp/239.20.0.57:3172
东南卫视高清,http://192.168.3.1:55555/udp/239.20.0.58:3168
河南卫视高清,http://192.168.3.1:55555/udp/239.21.0.104:3756
湖南卫视高清,http://192.168.3.1:55555/udp/239.20.0.105:2008
北京卫视高清,http://192.168.3.1:55555/udp/239.20.0.121:2040
深圳卫视高清,http://192.168.3.1:55555/udp/239.20.0.122:2042
黑龙江卫视高清,http://192.168.3.1:55555/udp/239.20.0.123:2044
湖北卫视高清,http://192.168.3.1:55555/udp/239.20.0.124:2046
浙江卫视高清,http://192.168.3.1:55555/udp/239.20.0.169:2136
江苏卫视高清,http://192.168.3.1:55555/udp/239.20.0.170:2138
天津卫视高清,http://192.168.3.1:55555/udp/239.20.0.171:2140
山东卫视高清,http://192.168.3.1:55555/udp/239.20.0.172:2142
东方卫视高清,http://192.168.3.1:55555/udp/239.20.0.173:2144
辽宁卫视高清,http://192.168.3.1:55555/udp/239.20.0.175:2148
安徽卫视高清,http://192.168.3.1:55555/udp/239.20.0.193:2184
四川卫视高清,http://192.168.3.1:55555/udp/239.20.0.194:2186
重庆卫视高清,http://192.168.3.1:55555/udp/239.20.0.195:2188
贵州卫视高清,http://192.168.3.1:55555/udp/239.20.0.212:2222
教育卫视高清,http://192.168.3.1:55555/udp/239.20.0.213:2224
云南卫视高清,http://192.168.3.1:55555/udp/239.21.0.133:3876
海南卫视高清,http://192.168.3.1:55555/udp/239.21.0.134:3880
金鹰纪实高清,http://192.168.3.1:55555/udp/239.20.0.196:2190
求索记录高清,http://192.168.3.1:55555/udp/239.21.0.118:3816
金鹰卡通高清,http://192.168.3.1:55555/udp/239.21.0.115:3804
早期教育高清,http://192.168.3.1:55555/udp/239.21.0.106:3764
中国交通高清,http://192.168.3.1:55555/udp/239.20.0.68:3128
快乐垂钓高清,http://192.168.3.1:55555/udp/239.21.0.121:3828
茶频道高清,http://192.168.3.1:55555/udp/239.21.0.120:3824

咪咕赛事频道,#genre#

咪咕-高清赛事1,http://192.168.3.1:55555/udp/239.10.0.87:1025
